,Latitude,Longitude,Depth,Magnitude,Distance,Is-erupting,Is-erupting-tomorrow,Is-erupting-next-week
0,19.3052,-155.2292,6.11,1.92,14.2327,False,False,True
1,19.3052,-155.2292,6.11,1.92,14.2327,False,False,True
2,19.3628,-155.17,3.05,2.14,13.8738,False,False,True
3,19.3628,-155.17,3.05,2.14,13.8738,False,False,True
4,19.3818,-155.2425,0.98,2.23,6.3863,False,False,True
5,19.3818,-155.2425,0.98,2.23,6.3863,False,False,True
6,19.3442,-155.1575,8.63,2.25,16.0452,False,False,True
7,19.3442,-155.1575,8.63,2.25,16.0452,False,False,True
8,19.3343,-155.0647,6.03,1.78,25.2329,False,False,True
9,19.3343,-155.0647,6.03,1.78,25.2329,False,False,True
10,19.3508,-155.1798,8.01,1.37,13.6883,False,False,True
11,19.3508,-155.1798,8.01,1.37,13.6883,False,False,True
12,19.3493,-155.1777,8.05,1.63,13.9645,False,False,True
13,19.3493,-155.1777,8.05,1.63,13.9645,False,False,True
14,19.3142,-155.2305,7.97,1.5,13.2726,False,False,True
15,19.3142,-155.2305,7.97,1.5,13.2726,False,False,True
16,19.3625,-155.18200000000002,2.73,2.05,12.7909,False,False,True
17,19.3625,-155.18200000000002,2.73,2.05,12.7909,False,False,True
18,19.3178,-155.2245,7.98,1.65,13.2163,False,False,True
19,19.3178,-155.2245,7.98,1.65,13.2163,False,False,True
20,19.3488,-155.1878,8.5,2.16,13.1425,False,False,True
21,19.3488,-155.1878,8.5,2.16,13.1425,False,False,True
22,19.3648,-155.188,3.06,2.6,12.1194,False,False,True
23,19.3648,-155.188,3.06,2.6,12.1194,False,False,True
24,19.3613,-155.1892,3.24,1.84,12.2188,False,False,True
25,19.3613,-155.1892,3.24,1.84,12.2188,False,False,True
26,19.3335,-155.2238,8.86,1.37,11.7735,False,False,True
27,19.3335,-155.2238,8.86,1.37,11.7735,False,False,True
28,19.359,-155.188,2.9,1.25,12.4643,False,False,True
29,19.359,-155.188,2.9,1.25,12.4643,False,False,True
30,19.3573,-155.1647,2.75,1.08,14.6537,False,False,True
31,19.3573,-155.1647,2.75,1.08,14.6537,False,False,True
32,19.395,-155.1802,0.09,1.01,11.5681,False,True,True
33,19.395,-155.1802,0.09,1.01,11.5681,False,True,True
34,19.3672,-155.1875,2.62,1.3,12.0293,False,True,True
