,Latitude,Longitude,Depth,Magnitude,Distance,Days-till-eruption
0,19.3052,-155.2292,6.11,1.92,14.2327,1.9869140046296296
1,19.3052,-155.2292,6.11,1.92,14.2327,1.9869140046296296
2,19.3628,-155.17,3.05,2.14,13.8738,1.9697625
3,19.3628,-155.17,3.05,2.14,13.8738,1.9697625
4,19.3818,-155.2425,0.98,2.23,6.3863,1.964764351851852
5,19.3818,-155.2425,0.98,2.23,6.3863,1.964764351851852
6,19.3442,-155.1575,8.63,2.25,16.0452,1.9404545138888887
7,19.3442,-155.1575,8.63,2.25,16.0452,1.9404545138888887
8,19.3343,-155.0647,6.03,1.78,25.2329,1.917711458333333
9,19.3343,-155.0647,6.03,1.78,25.2329,1.917711458333333
10,19.3508,-155.1798,8.01,1.37,13.6883,1.8088290509259257
11,19.3508,-155.1798,8.01,1.37,13.6883,1.8088290509259257
12,19.3493,-155.1777,8.05,1.63,13.9645,1.7735922453703703
13,19.3493,-155.1777,8.05,1.63,13.9645,1.7735922453703703
14,19.3142,-155.2305,7.97,1.5,13.2726,1.7596424768518517
15,19.3142,-155.2305,7.97,1.5,13.2726,1.7596424768518517
16,19.3625,-155.18200000000002,2.73,2.05,12.7909,1.7393945601851852
17,19.3625,-155.18200000000002,2.73,2.05,12.7909,1.7393945601851852
18,19.3178,-155.2245,7.98,1.65,13.2163,1.5990605324074074
19,19.3178,-155.2245,7.98,1.65,13.2163,1.5990605324074074
20,19.3488,-155.1878,8.5,2.16,13.1425,1.3803858796296298
21,19.3488,-155.1878,8.5,2.16,13.1425,1.3803858796296298
22,19.3648,-155.188,3.06,2.6,12.1194,1.3453284722222223
23,19.3648,-155.188,3.06,2.6,12.1194,1.3453284722222223
24,19.3613,-155.1892,3.24,1.84,12.2188,1.339396875
25,19.3613,-155.1892,3.24,1.84,12.2188,1.339396875
26,19.3335,-155.2238,8.86,1.37,11.7735,1.170924074074074
27,19.3335,-155.2238,8.86,1.37,11.7735,1.170924074074074
28,19.359,-155.188,2.9,1.25,12.4643,1.156066435185185
29,19.359,-155.188,2.9,1.25,12.4643,1.156066435185185
30,19.3573,-155.1647,2.75,1.08,14.6537,1.1202627314814815
31,19.3573,-155.1647,2.75,1.08,14.6537,1.1202627314814815
32,19.395,-155.1802,0.09,1.01,11.5681,0.9978572916666666
33,19.395,-155.1802,0.09,1.01,11.5681,0.9978572916666666
34,19.3672,-155.1875,2.62,1.3,12.0293,0.9972780092592594
35,19.3672,-155.1875,2.62,1.3,12.0293,0.9972780092592594
36,19.5113,-155.3947,6.7,1.53,15.1097,0.9613358796296296
37,19.5113,-155.3947,6.7,1.53,15.1097,0.9613358796296296
38,19.364,-155.1883,2.54,1.63,12.1386,0.9077065972222224
39,19.364,-155.1883,2.54,1.63,12.1386,0.9077065972222224
40,19.3548,-155.183,2.06,1.09,13.16,0.8835109953703704
