Volcano Name,Eruption Type,Start Date,Max. VEI
"Fournaise, Piton de la",Confirmed Eruption,2020 Feb 10,--
Rincon de la Vieja,Confirmed Eruption,2020 Jan 31,--
Fernandina,Confirmed Eruption,2020 Jan 12,--
Taal,Confirmed Eruption,2020 Jan 12,--
Kuchinoerabujima,Confirmed Eruption,2020 Jan 11,--
Whakaari/White Island,Confirmed Eruption,2019 Dec 9,2
Semisopochnoi,Confirmed Eruption,2019 Dec 7,--
Nishinoshima,Confirmed Eruption,2019 Dec 5,1
Cleveland,Uncertain Eruption,2019 Nov 7,--
Kikai,Confirmed Eruption,2019 Nov 2,--
Klyuchevskoy,Confirmed Eruption,2019 Oct 24,--
Lateiki,Confirmed Eruption,2019 Oct 13,1
Asamayama,Confirmed Eruption,2019 Aug 7,--
Copahue,Confirmed Eruption,2019 Aug 2,--
Tangkuban Parahu,Confirmed Eruption,2019 Jul 26,--
Shishaldin,Confirmed Eruption,2019 Jul 23,--
"Ruiz, Nevado del",Confirmed Eruption,2019 Jul 23,--
Semisopochnoi,Confirmed Eruption,2019 Jul 16,--
Ulawun,Confirmed Eruption,2019 Jun 26,--
Ubinas,Confirmed Eruption,2019 Jun 24,--
Raikoke,Confirmed Eruption,2019 Jun 22,--
"Fournaise, Piton de la",Confirmed Eruption,2019 Jun 11,--
Great Sitkin,Confirmed Eruption,2019 Jun 1,--
Sarychev Peak,Confirmed Eruption,2019 May 16,2
Colima,Confirmed Eruption,2019 May 11,--
Asosan,Confirmed Eruption,2019 Apr 16,--
Klyuchevskoy,Confirmed Eruption,2019 Apr 9,--
Sangay,Confirmed Eruption,2019 Mar 26,--
San Cristobal,Confirmed Eruption,2019 Mar 4,--
"Fournaise, Piton de la",Confirmed Eruption,2019 Feb 18,--
Tengger Caldera,Confirmed Eruption,2019 Feb 18,2
Karymsky,Confirmed Eruption,2019 Feb 16,--
Poas,Confirmed Eruption,2019 Feb 7,--
Sinabung,Confirmed Eruption,2019 Feb 6,--
Tinakula,Confirmed Eruption,2018 Dec 8,2
Karangetang,Confirmed Eruption,2018 Nov 25,2
Planchon-Peteroa,Confirmed Eruption,2018 Nov 7,1
"Ruiz, Nevado del",Uncertain Eruption,2018 Oct 26,--
Kuchinoerabujima,Confirmed Eruption,2018 Oct 21,3
Gamalama,Confirmed Eruption,2018 Oct 4,1
Soputan,Confirmed Eruption,2018 Oct 2,3
Barren Island,Confirmed Eruption,2018 Sep 25,1
Ulawun,Confirmed Eruption,2018 Sep 21,2
Ketoi,Uncertain Eruption,2018 Sep 21,1
Sarychev Peak,Confirmed Eruption,2018 Sep 8,2
Semisopochnoi,Confirmed Eruption,2018 Sep 8,1
Veniaminof,Confirmed Eruption,2018 Sep 4,1
Alaid,Confirmed Eruption,2018 Aug 20,1
Sangay,Confirmed Eruption,2018 Aug 8,2
Rincon de la Vieja,Confirmed Eruption,2018 Jul 28,1
Nishinoshima,Confirmed Eruption,2018 Jul 12,1
Mayotte,Confirmed Eruption,2018 Jul 3,0
"Negra, Sierra",Confirmed Eruption,2018 Jun 26,2
Telica,Confirmed Eruption,2018 Jun 21,1
Krakatau,Confirmed Eruption,2018 Jun 18,3
Fernandina,Confirmed Eruption,2018 Jun 16,1
Great Sitkin,Confirmed Eruption,2018 Jun 10,1
Ulawun,Confirmed Eruption,2018 Jun 8,1
Merapi,Confirmed Eruption,2018 May 11,3
Karymsky,Confirmed Eruption,2018 Apr 28,3
Marapi,Confirmed Eruption,2018 Apr 27,2
San Cristobal,Confirmed Eruption,2018 Apr 22,1
Kerinci,Confirmed Eruption,2018 Apr 21,1
Nyamuragira,Confirmed Eruption,2018 Apr 18,0
"Fournaise, Piton de la",Confirmed Eruption,2018 Apr 3,0
Dieng Volcanic Complex,Confirmed Eruption,2018 Apr 1,1
Kirishimayama,Confirmed Eruption,2018 Mar 1,3
Sangay,Confirmed Eruption,2018 Feb 25,1
Karangetang,Confirmed Eruption,2018 Feb 2,1
Kusatsu-Shiranesan,Confirmed Eruption,2018 Jan 23,1
San Miguel,Confirmed Eruption,2018 Jan 14,1
Mayon,Confirmed Eruption,2018 Jan 13,2
Kadovar,Confirmed Eruption,2018 Jan 5,2
"Ruiz, Nevado del",Uncertain Eruption,2017 Dec 18,--
Kanlaon,Confirmed Eruption,2017 Dec 9,2
Agung,Confirmed Eruption,2017 Nov 21,3
Dempo,Confirmed Eruption,2017 Nov 9,1
Tinakula,Confirmed Eruption,2017 Oct 21,3
Sarychev Peak,Confirmed Eruption,2017 Oct 12,2
Kirishimayama,Confirmed Eruption,2017 Oct 11,2
